Р-39;r2789935;Рагачоў — Жлобін (да аўтамабільнай дарогі М-5);Рогачев — Жлобин (до автомобильной дороги М-5);'name:ru' не супадае з назвай у Законе
Р-40;r2798201;Бараўляны — Лагойск;Боровляны — Логойск;'name:ru' не супадае з назвай у Законе
Р-41;r158533;Слонім — Масты — Скідзель — мяжа Літоўскай Рэспублікі (Парэчча);Слоним — Мосты — Скидель — граница Литовской Республики (Поречье);'name:ru' не супадае з назвай у Законе
Р-42;r158335;Гродна — Гожа — мяжа Літоўскай Рэспублікі (Прывалкі);Гродно — Гожа — граница Литовской Республики (Привалки);'name:ru' не супадае з назвай у Законе
Р-43;r2786094;Мяжа Расійскай Федэрацыі (Звянчатка) — Крычаў — Бабруйск — Івацэвічы (да аўтамабільнай дарогі Р-2/Е 85);Граница Российской Федерации (Звенчатка) — Кричев Бобруйск — Ивацевичи (до автомобильной дороги Р-2/Е 85);'name:ru' не супадае з назвай у Законе
Р-44;r158330;Гродна — Квасоўка — Лунна — Ружаны — Івацэвічы;Гродно — Квасовка — Лунно — Ружаны — Ивацевичи;'name:ru' не супадае з назвай у Законе
Р-45;r1250529;Полацк — Глыбокае — мяжа Літоўскай Рэспублікі (Катлоўка);Полоцк — Глубокое — граница Литвы (Котловка);'name:ru' не супадае з назвай у Законе
Р-46;r1246634;Лепель — Полацк — мяжа РФ (Юхавічы);Лепель — Полоцк — граница РФ (Юховичи);'name:ru' не супадае з назвай у Законе
Р-48;r2796636;Варона — Ашмяны — Юрацішкі — Іўе;Ворона — Ошмяны — Юратишки — Ивье;'name:ru' не супадае з назвай у Законе
Р-50;r2703246;Масты — Зэльва — Ружаны;Мосты — Зельва — Ружаны;'name:ru' не супадае з назвай у Законе
Р-51;r1125689;Астрына — Шчучын — Ваўкавыск;Острино — Щучин — Волковыск;'name:ru' не супадае з назвай у Законе
Р-53;r2798204;Слабада — Навасады;Слобода — Новосады;'name:ru' не супадае з назвай у Законе
Р-54;r2786092;Пяршай — Івянец — Нясвіж (праз Дзераўное);Першай — Ивенец — Несвиж (ч/з Деревное);'name:ru' не супадае з назвай у Законе
Р-55;r2789714;Бабруйск — Глуск — Любань — Гулевічы (до а/д Р-23);Бобруйск — Глуск — Любань — Гулевичи (до а/д Р-23);'name:ru' не супадае з назвай у Законе
Р-56;r2796768;Маладзечна — Валожын;Молодечно — Воложин;'name:ru' не супадае з назвай у Законе
Р-57;r2789717;Кучына — Любань — Вятчын (да а/д М-10);Кучино — Любань — Ветчин (до а/д М-10);'name:ru' не супадае з назвай у Законе
Р-58;r2796767;Мінск — Калачы — Мядзел;Минск — Калачи — Мядель;'name:ru' не супадае з назвай у Законе
Р-59;r2798203;Лагойск — Смалявічы — Мар’іна Горка;Логойск — Смолевичи — Марьина Горка;'name:ru' не супадае з назвай у Законе
Р-60;r2630830;Купа — Занарач — Брусы;Купа — Занарочь — Брусы;'name:ru' не супадае з назвай у Законе
Р-61;r2630829;Узда — Капыль — Гулевічы (праз Старыцу);Узда — Копыль — Гулевичи (через Старицу);'name:ru' не супадае з назвай у Законе
Р-62;r2630828;Чашнікі — Бобр — Бабруйск (праз Клічаў);Чашники — Бобр — Бобруйск (через Кличев);'name:ru' не супадае з назвай у Законе
Р-63;r2796634;Барысаў — Вілейка — Ашмяны;Борисов — Вилейка — Ошмяны;'name:ru' не супадае з назвай у Законе
Р-64;r2630834;Стоўбцы — Мір;Столбцы — Мир;'name:ru' не супадае з назвай у Законе
Р-65;r1823593;Заслаўе — Дзяржынск — Возера;Заславль — Дзержинск — Озеро;'name:ru' не супадае з назвай у Законе
Р-66;r2798202;Калачы — Лагойск;Калачи — Логойск;'name:ru' не супадае з назвай у Законе
Р-67;r2798200;Барысаў — Беразіно — Бабруйск;Борисов — Березино — Бобруйск;'name:ru' не супадае з назвай у Законе
Р-68;r2630686;Пухавічы — Узда — Негарэлае;Пуховичи — Узда — Негорелое;'name:ru' не супадае з назвай у Законе
Р-69;r2798206;;;'name' не знойдзены|'name:be' не знойдзены|'name:ru' не знойдзены|'name:ru' не супадае з назвай у Законе
Р-70;r2792021;Княжыцы — Горкі — Леніна — мяжа Расійскай Федэрацыі (Дружнае);Княжицы — Горки — Ленино — граница Российской Федерации (Дружное);'name:ru' не супадае з назвай у Законе
Р-71;r2790178;Магілёў — Слаўгарад;Могилёв — Славгород;'name:ru' не супадае з назвай у Законе
Р-72;r2792025;Асіповічы — Свіслач;Осиповичи — Свислочь;'name:ru' не супадае з назвай у Законе
Р-73;r2792027;Чавусы — Мсціслаў — мяжа РФ (Каськова);Чаусы — Мстиславль — граница РФ (Коськово);'name:ru' не супадае з назвай у Законе
