Н-157;Пантюхи – Бобры;9/101102
Н-158;Новые Дворы – Балевщина;9/101102
Н-159;Матеевичи – Корды;9/101102
Н-160;Грабовцы – Конотопы;9/101102
Н-161;Замошаны – Дягли – Петровичи;9/101102
Н-162;Верхи – Полевая Речица;9/101102
Н-163;Селищи – Рудка;9/101102
Н-164;Столпы – Вежки – Огородники;9/101102
Н-165;Матясы – Борздилы;9/101102
Н-166;Новые Дворы – Зеленковщизна – Жабинка;9/101102
Н-167;Степанки – Житин;9/101102
Н-168;Соколово – Рудка (до автомобильной дороги Н-150 Хмелево – Рачки);9/101102
Н-169;Хмелево – Лясоты – Подлесье;9/101102
Н-170;Бусни – Ленинский;9/101102
Н-171;Бульково – Задерть;9/101102
Н-172;Богданы – Мыщицы;9/101102
Н-173;Ленинский – Чижевщина;9/101102
Н-174;Транспортная развязка на км 38,570 автомобильной дороги М-1/Е 30 Брест (Козловичи) – Минск – граница Российской Федерации (Редьки) и км 0,000 автомобильной дороги Н-137 Рогозно – Теляки – Озяты, Н-153 Рогозно – Ежики – Филипповичи;9/101102
Н-200;Бобрик – Теребень – Малая Плотница;9/101102
Н-201;Богушево – Понятичи;9/101102
Н-202;Гряды (от автомобильной дороги Р-8 Лунинец – Пинск) – Вылазы – Селище;9/101102
Н-203;Вяз (от автомобильной дороги М-10 Граница Российской Федерации (Селище) – Гомель – Кобрин) – Погост-Загородский;9/101102
Н-204;Охово (от автомобильной дороги М-10 Граница Российской Федерации (Селище) – Гомель – Кобрин) – Малый Холожин;9/101102
Н-205;Доброславка – Погост-Загородский – Парохонск – Молодельчицы;9/101102
Н-206;Домашицы – Хойно – Большие Диковичи – Завидчицы;9/101102
Н-207;Дубое – Кончицы – Житновичи – Стытычево;9/101102
Н-208;Кнубово (от автомобильной дороги Р-6 Ивацевичи – Пинск – Столин) – Большие Дворцы – Малые Дворцы;9/101102
Н-209;Жабчицы (от автомобильной дороги Н-218 Пинск – Огово) – Садовый;9/101102
Н-210;Купятичи – Оснежицы;9/101102
Н-211;Лопатино – Колбы – Месятичи;9/101102
Н-212;Лыще – Заборовцы – Пучины;9/101102
Н-213;Мерчицы – Молодово – Мотоль;9/101102
Н-214;Мокрая Дуброва – Стошаны – Новый Двор;9/101102
Н-215;Молотковичи – Тепенец – Новый Дворец;9/101102
Н-216;Невель – граница Украины;9/101102
Н-217;Озаричи – Соколовка – Клетная;9/101102
Н-218;Пинск – Огово;9/101102
Н-219;Пинск – Оснежицы;9/101102
Н-220;Погост-Загородский – Новый Двор (до автомобильной дороги М-10 Граница Российской Федерации (Селище) – Гомель – Кобрин);9/101102
Н-221;Синин – Охово – Берёзовичи;9/101102
Н-222;Телеханы – Речки – Плоскинь;9/101102
Н-223;Тобулки – Чемерин;9/101102
Н-224;Федоры – Ласицк – Паре;9/101102
Н-225;Жолкино (от автомобильной дороги Н-224 Федоры – Ласицк – Паре) – Трушево – граница Украины;9/101102
Н-226;Хлябы – Лемешевичи – Боричевичи – Гольцы;9/101102
Н-227;Чёрново-1 – Христиболовичи – Тупчицы;9/101102
Н-228;Почапово – Кудричи – Площево – Курадово;9/101102
Н-229;Клин – Сушицк – Островичи – Молодельчицы;9/101102
Н-230;Мерчицы – Твердовка;9/101102
Н-231;Поречье – Ольшанка;9/101102
Н-232;Лемешевичи – Болгары – Теребень;9/101102
Н-233;Месятичи – Шоломичи – Лозичи;9/101102
Н-234;Каллауровичи – Поросцы – Качановичи;9/101102
Н-235;Ласицк – Вешня – Борки;9/101102
Н-236;Поросцы – Особовичи;9/101102
Н-237;Вуйвичи – Гривковичи;9/101102
Н-238;Молодельчицы – Березцы;9/101102
Н-239;Ганьковичи – Полторановичи – Большой Холожин;9/101102
