4;r8016712;Тумілавіцкі сельскі Савет;
3;r70656;Дубровенскі раён;
4;r1177449;Дуброўна;
4;r8075994;Валяўкоўскі сельскі Савет;
4;r8075993;Дабрынскі сельскі Савет;
4;r8075992;Зарубскі сельскі Савет;
4;r8075991;Малабахаўскі сельскі Савет;
4;r8075990;Маласавінскі сельскі Савет;
4;r8075989;Асінторфскі сельскі Савет;
4;r8075988;Пірагоўскі сельскі Савет;
3;r70679;Лепельскі раён;
4;r1180576;Лепель;
4;r6826051;Баброўскі сельскі Савет;
4;r6826058;Бароўскі сельскі Савет;
4;r6826048;Валосавіцкі сельскі Савет;
4;r6826049;Горскі сельскі Савет;
4;r6825879;Домжарыцкі сельскі Савет;
4;r6826050;Каменскі сельскі Савет;
4;r6826056;Лепельскі сельскі Савет;
4;r6826057;Слабадскі сельскі Савет;
4;r6825878;Стайскі сельскі Савет;
3;r70665;Лёзненскі раён;
4;r1173547;Лёзна;
4;r8075987;Бабінавіцкі сельскі Савет;
4;r8075986;Веляшковіцкі сельскі Савет;
4;r8075985;Дабрамыслінскі сельскі Савет;
4;r8075984;Крынкаўскі сельскі Савет;
4;r8075983;Лёзненскі сельскі Савет;
4;r8075982;Яськаўшчынскі сельскі Савет;
3;r70690;Мёрскі раён;
4;r1180081;Мёры;
4;r8075950;Завуццеўскі сельскі Савет;
4;r8075949;Мёрскі сельскі Савет;
4;r8075948;Мікалаёўскі сельскі Савет;
4;r8075947;Новапагосцкі сельскі Савет;
4;r8075946;Перабродскі сельскі Савет;
4;r8075945;Павяцкі сельскі Савет;
4;r8075944;Туркоўскі сельскі Савет;
4;r8075951;Узмёнскі сельскі Савет;
4;r8075943;Язненскі сельскі Савет;
3;r70660;Аршанскі раён;
4;r178128;Орша;
4;r4771133;Балбасава;
4;r8083042;Андрэеўшчынскі сельскі Савет;
4;r8083041;Бабініцкі сельскі Савет;
4;r8083038;Барздоўскі сельскі Савет;
4;r8083037;Высокаўскі сельскі Савет;
4;r8083035;Забалацкі сельскі Савет;
4;r8083034;Задроўеўскі сельскі Савет;
4;r8083033;Зубаўскі сельскі Савет;
4;r8083036;Зубрэвіцкі сельскі Савет;
4;r8083032;Крапівенскі сельскі Савет;
4;r8083030;Межаўскі сельскі Савет;
4;r8083029;Арэхаўскі сельскі Савет;
4;r8083028;Пішчалаўскі сельскі Савет;
4;r8083027;Смальянскі сельскі Савет;
4;r8083026;Вусценскі сельскі Савет;
3;r70671;Полацкі раён;
4;r1749243;Полацк;
4;r8075980;Азінскі сельскі Савет;
4;r8075979;Бабыніцкі сельскі Савет;
4;r8075978;Баравухскі сельскі Савет;
4;r8075977;Ветрынскі сельскі Савет;
4;r8075976;Вароніцкі сельскі Савет;
4;r8075974;Гомельскі сельскі Савет;
4;r8075975;Гаранскі сельскі Савет;
4;r8075973;Зялёнкаўскі сельскі Савет;
4;r8075972;Маласітнянскі сельскі Савет;
4;r8075971;Астроўшчынскі сельскі Савет;
4;r8075970;Палатоўскі сельскі Савет;
4;r8075968;Салоніцкі сельскі Савет;
4;r8075969;Фарынаўскі сельскі Савет;
4;r8075967;Экіманскі сельскі Савет;
3;r6825778;Наваполацк;
3;r70707;Пастаўскі раён;
4;r1180589;Паставы;
4;r7498634;Лынтупы;
4;r8016492;Варапаеўскі сельскі Савет;
4;r8016489;Дунілавіцкі сельскі Савет;
4;r8016497;Камайскі сельскі Савет;
4;r8016491;Казлоўшчынскі сельскі Савет;
4;r8016495;Курапольскі сельскі Савет;
4;r8016498;Лынтупскі сельскі Савет;
4;r8016493;Навасёлкаўскі сельскі Савет;
4;r8016494;Юнькаўскі сельскі Савет;
3;r70680;Расонскі раён;
4;r6722342;Расоны;
4;r8075966;Альбрэхтаўскі сельскі Савет;
4;r8075965;Гарбачэўскі сельскі Савет;
4;r8075964;Клясціцкі сельскі Савет;
4;r8075963;Краснапольскі сельскі Савет;
4;r8075962;Сакалішчанскі сельскі Савет;
4;r8075961;Янкавіцкі сельскі Савет;
3;r70662;Сенненскі раён;
4;r1996913;Сянно;
4;r7923835;Беліцкі сельскі Савет;
4;r7923836;Багданаўскі сельскі Савет;
4;r7923831;Багушэўскі сельскі Савет;
4;r7923834;Какоўчынскі сельскі Савет;
4;r7923829;Машканскі сельскі Савет;
4;r7923830;Нямойтаўскі сельскі Савет;
4;r7923832;Студзёнкаўскі сельскі Савет;
4;r7923833;Ходцаўскі сельскі Савет;
3;r70649;Талачынскі раён;
4;r6722347;Талачын;
4;r7975911;Воўкавіцкі сельскі Савет;
4;r7975910;Валосаўскі сельскі Савет;
4;r7975908;Аболецкі сельскі Савет;
4;r7975909;Коханаўскі сельскі Савет;
4;r7975907;Серкавіцкі сельскі Савет;
4;r7975904;Слаўнаўскі сельскі Савет;
