route;r8810712;tram;Трамвай №6 - ДС Зялёны Луг - ДС Серабранка;Трамвай №6 - ДС Зелёный Луг - ДС Серебрянка;у 'name:be' неправільны злучок " -"|у 'name:ru' неправільны злучок " -"|прыпынак далёка ад платформы: 1223.8 м ("Уральская")|прыпынак далёка ад платформы: 503.3 м ("Станцыя метро «Трактарны завод»")|прыпынак далёка ад платформы: 381.6 м ("Ванеева")|прыпынак далёка ад платформы: 695.9 м ("Парк 50 год Кастрычніка")|прыпынак далёка ад платформы: 454.2 м ("Станцыя метро «Партызанская»")|прыпынак далёка ад платформы: 612.3 м ("Народная")|прыпынак далёка ад платформы: 440.5 м ("Васняцова")|прыпынак далёка ад платформы: 621.3 м ("Гараўца")|прыпынак далёка ад платформы: 614.6 м ("Праспект Ракасоўскага")|прыпынак далёка ад платформы: 497.9 м ("Паліклініка № 18")|прыпынак далёка ад платформы: 941.8 м ("Якубава")|прыпынак далёка ад платформы: 5337.8 м ("ДС Серабранка")|маршрут: не знойдзены 'from'|маршрут: не знойдзены 'to'|назва 'name:be' майстар-маршруту не "Трамвай №6"|назва 'name:ru' майстар-маршруту не "Трамвай №6"
route;r8810713;tram;Трамвай №6 - ДС Серабранка - ДС Зялёны Луг;Трамвай №6 - ДС Серебрянка - ДС Зелёный Луг;у 'name:be' неправільны злучок " -"|у 'name:ru' неправільны злучок " -"|не супадае колькасць: 31 прыпынкаў і 30 платформаў|маршрут: не знойдзены 'from'|маршрут: не знойдзены 'to'|назва 'name:be' майстар-маршруту не "Трамвай №6"|назва 'name:ru' майстар-маршруту не "Трамвай №6"

master;r75939;tram;Трамвай №5: Д/С Возера - Д/С Зялёны Луг;Трамвай №5: Д/С Озеро - Д/С Зелёный Луг;
route;r7979900;tram;Трамвай №5 - ДС Зялёны Луг - ДС Возера;Трамвай №5 - ДС Зеленый Луг - ДС Озеро;у 'name:be' неправільны злучок " -"|у 'name:ru' неправільны злучок " -"|маршрут: не знойдзены 'from'|маршрут: не знойдзены 'to'|назва 'name:be' майстар-маршруту не "Трамвай №5"|назва 'name:ru' майстар-маршруту не "Трамвай №5"
route;r7979898;tram;Трамвай №5 - ДС Возера - ДС Зялёны Луг;Трамвай №5 - ДС Озеро - ДС Зелёный Луг;у 'name:be' неправільны злучок " -"|у 'name:ru' неправільны злучок " -"|маршрут: не знойдзены 'from'|маршрут: не знойдзены 'to'|назва 'name:be' майстар-маршруту не "Трамвай №5"|назва 'name:ru' майстар-маршруту не "Трамвай №5"

master;r173726;bus;Аўтобус №143с - Ст. м. Маскоўская - Зялёны Бор;Автобус №143с - Ст. м. Московская - Зелёный Бор;
route;r16348027;bus;Аўтобус №143c - Ст. м. Маскоўская - Зялёны Бор;Автобус №143c - Cт.м. Московская - Зелёный Бор;у 'name:be' лацінскія літары "c"|у 'name:be' неправільны злучок " -"|у 'name:be' спецыяльныя знакі "."|у 'name:be' недапушчальны скарот "Ст."|у 'name:ru' лацінскія літары "c"|у 'name:ru' неправільны злучок " -"|у 'name:ru' спецыяльныя знакі "."|маршрут: не знойдзены 'from'|маршрут: не знойдзены 'to'|назва 'name:be' майстар-маршруту не "Аўтобус №143с"|назва 'name:ru' майстар-маршруту не "Aвтобус №143с"
route;r16348028;bus;Аўтобус №143с - Зялёны Бор - Ст. м. Маскоўская;Автобус №143с - Зелёный Бор - Ст. м. Московская;у 'name:be' неправільны злучок " -"|у 'name:be' спецыяльныя знакі "."|у 'name:be' недапушчальны скарот "Ст."|у 'name:ru' неправільны злучок " -"|у 'name:ru' спецыяльныя знакі "."|у 'name:ru' недапушчальны скарот "Ст."|маршрут: не знойдзены 'from'|маршрут: не знойдзены 'to'|назва 'name:be' майстар-маршруту не "Аўтобус №143с"|назва 'name:ru' майстар-маршруту не "Aвтобус №143с"

master;r391397;trolleybus;Тралейбус №52 - ДС Малінаўка-4 - Люцынская;Троллейбус №52 - ДС Малиновка-4 - Люцинская;
